Age,Education,Skills,Interests,Recommended_Career
30,Master's,vulnerability assessment penetration testing firewalls network security cryptography ethical hacking,digital forensics problem solving,Cybersecurity Analyst
38,Bachelor's,business intelligence excel python,finance decision making business,Data Analyst
35,Bachelor's,css react ui development javascript,design user experience technology,Frontend Developer
28,Master's,linux ci/cd ansible docker shell scripting aws,automation technology,DevOps Engineer
40,Master's,spark data warehousing hadoop,technology analytics infrastructure data engineering,Data Engineer
22,PhD,prototyping ui design adobe xd sketch usability testing,technology design psychology creativity,UI/UX Designer
38,Master's,linux penetration testing incident response siem,cybersecurity privacy,Cybersecurity Analyst
31,Bachelor's,computer vision deep learning python image processing tensorflow,artificial intelligence computer vision photography research,Computer Vision Engineer
18,Master's,react webpack typescript figma responsive design,design technology creative coding user experience,Frontend Developer
35,Master's,deep learning statistics pytorch paper writing,research academia,AI Researcher
27,Bachelor's,azure kubernetes ci/cd docker,technology infrastructure cloud computing engineering,Cloud Engineer
19,PhD,research paper writing deep learning natural language processing python,innovation artificial intelligence academia technology,AI Researcher
25,Master's,google analytics data analysis ppc email marketing marketing automation,creativity social media marketing,Digital Marketer
38,Bachelor's,feature engineering pytorch docker python scikit-learn,research technology artificial intelligence software engineering,Machine Learning Engineer
35,Master's,text classification deep learning huggingface python,linguistics artificial intelligence,NLP Engineer
33,Bachelor's,branding data analysis content marketing,marketing communications social media business,Digital Marketer
40,Master's,risk management communication documentation budgeting,business strategy team collaboration management,Project Manager
19,Bachelor's,computer vision opencv pytorch,photography technology,Computer Vision Engineer
36,Master's,marketing wordpress editing analytics social media,media creativity communications,Content Strategist
25,Master's,opencv data augmentation python convolutional neural networks,technology artificial intelligence photography research,Computer Vision Engineer
36,Master's,ansible ci/cd git,system reliability technology engineering,DevOps Engineer
23,Master's,pytorch natural language processing huggingface transformers deep learning python,technology linguistics artificial intelligence research,NLP Engineer
29,PhD,natural language processing paper writing statistics computer vision tensorflow mathematics,innovation technology,AI Researcher
32,Bachelor's,spark kafka python data warehousing,data engineering analytics technology infrastructure,Data Engineer
38,Bachelor's,rest api java ios react native flutter firebase,technology design,Mobile Developer
30,PhD,serial communication embedded linux c assembly,iot hardware,Embedded Systems Engineer
33,Bachelor's,ui development html webpack typescript,web development technology,Frontend Developer
38,Master's,natural language processing deep learning computer vision statistics python,innovation artificial intelligence,AI Researcher
33,Bachelor's,marketing automation ppc social media marketing,marketing business creativity,Digital Marketer
36,Bachelor's,microservices nodejs docker spring boot python,problem solving technology software development system architecture,Backend Developer
39,Master's,vulnerability assessment penetration testing network security,problem solving cybersecurity,Cybersecurity Analyst
25,Bachelor's,computer vision object detection python image processing,photography computer vision technology,Computer Vision Engineer
36,Bachelor's,etl sql data warehousing spark cloud platforms,data engineering analytics technology,Data Engineer
22,Master's,microcontrollers pcb design iot hardware programming serial communication,iot automation electronics hardware,Embedded Systems Engineer
33,Master's,shell scripting linux aws,engineering infrastructure technology,DevOps Engineer
32,Bachelor's,marketing social media editing content writing storytelling seo,media communications writing marketing,Content Strategist
26,Bachelor's,git javascript sql nodejs react html,software engineering web development,Full Stack Developer
37,Master's,python statistics deep learning,innovation research,AI Researcher
24,Bachelor's,design thinking adobe xd usability testing sketch ui design prototyping,design psychology technology user experience,UI/UX Designer
31,Bachelor's,java react native mobile ui,mobile technology user experience,Mobile Developer
32,Bachelor's,css react webpack typescript,user experience web development technology creative coding,Frontend Developer
35,Bachelor's,marketing editing social media copywriting storytelling,creativity communications media,Content Strategist
19,Bachelor's,mongodb javascript nodejs css git,web development technology entrepreneurship,Full Stack Developer
39,Bachelor's,python spring boot system design rest api,system architecture technology engineering problem solving,Backend Developer
26,Master's,embedded linux assembly rtos pcb design,engineering hardware,Embedded Systems Engineer
19,PhD,ios rest api flutter android firebase,app development mobile technology,Mobile Developer
30,Master's,android java kotlin mobile ui swift rest api,app development mobile technology,Mobile Developer
29,Bachelor's,excel power bi pandas python,data science finance decision making business,Data Analyst
19,Bachelor's,python data visualization tableau business intelligence statistics sql,business finance analytics data science,Data Analyst
27,Master's,pytorch convolutional neural networks data augmentation,computer vision photography technology artificial intelligence,Computer Vision Engineer
32,Bachelor's,risk management budgeting jira scrum stakeholder management project planning,team collaboration leadership,Project Manager
29,Bachelor's,mobile ui android kotlin rest api react native,design technology mobile technology,Mobile Developer
21,PhD,kubernetes git linux ci/cd monitoring shell scripting,technology system reliability infrastructure,DevOps Engineer
34,Bachelor's,java android mobile ui swift flutter react native,app development design,Mobile Developer
36,Bachelor's,marketing automation copywriting branding social media marketing content marketing,creativity communications,Digital Marketer
32,Master's,penetration testing ethical hacking firewalls linux,technology digital forensics cybersecurity,Cybersecurity Analyst
19,Bachelor's,usability testing css adobe xd wireframing ui design,design creativity psychology technology,UI/UX Designer
35,Master's,wireframing sketch usability testing ui design prototyping,technology design user experience creativity,UI/UX Designer
40,Master's,aws cloud architecture azure,automation engineering,Cloud Engineer
24,Bachelor's,firewalls penetration testing ethical hacking cryptography,cybersecurity technology,Cybersecurity Analyst
18,Bachelor's,risk management agile communication scrum budgeting,management leadership,Project Manager
30,Master's,docker mongodb javascript html git sql,problem solving entrepreneurship software engineering web development,Full Stack Developer
23,PhD,data analysis content marketing copywriting email marketing seo google analytics,communications marketing business social media,Digital Marketer
24,Bachelor's,microservices data pipelines spring boot system design rest api java,system architecture technology problem solving software development,Backend Developer
24,Bachelor's,object detection opencv deep learning pytorch python,computer vision research,Computer Vision Engineer
23,Master's,reporting excel tableau terraform data visualization business intelligence,business decision making,Data Analyst
28,PhD,nodejs javascript docker microservices sql,problem solving entrepreneurship web development,Full Stack Developer
25,PhD,responsive design figma react webpack css html,web development creative coding design,Frontend Developer
30,Bachelor's,budgeting project planning jira,team collaboration management,Project Manager
35,Bachelor's,nodejs rest api javascript git,entrepreneurship web development problem solving software engineering,Full Stack Developer
25,Master's,hardware programming rtos embedded linux c c++,engineering iot hardware,Embedded Systems Engineer
20,Bachelor's,tensorflow python computer vision data augmentation,photography artificial intelligence computer vision technology,Computer Vision Engineer
29,Master's,c assembly rtos microcontrollers pcb design,engineering hardware electronics,Embedded Systems Engineer
33,Master's,webpack css react typescript,technology user experience web development design,Frontend Developer
28,PhD,javascript responsive design react vue ui development,web development design technology,Frontend Developer
36,Bachelor's,business intelligence process modeling stakeholder management data analysis excel,problem solving business analytics,Business Analyst
20,Master's,deep learning pytorch scikit-learn,technology software engineering artificial intelligence,Machine Learning Engineer
20,Master's,vulnerability assessment text classification transformers,linguistics technology research,NLP Engineer
39,Master's,documentation process modeling agile sql data analysis,problem solving analytics,Business Analyst
25,Bachelor's,scikit-learn statistics machine learning numpy pandas deep learning,analytics data science,Data Scientist
24,Bachelor's,branding content marketing ppc data analysis seo,business social media marketing,Digital Marketer
24,Bachelor's,convolutional neural networks computer vision image processing python data augmentation opencv,photography computer vision artificial intelligence research,Computer Vision Engineer
25,Bachelor's,html nodejs sql react rest api javascript,software engineering web development entrepreneurship,Full Stack Developer
27,Bachelor's,typescript figma javascript html,web development user experience,Frontend Developer
36,Bachelor's,microservices sql databases,engineering software development,Backend Developer
27,Master's,linux aws google cloud docker,automation technology engineering infrastructure,Cloud Engineer
24,Master's,mathematics tensorflow natural language processing python,research academia,AI Researcher
33,PhD,agile communication stakeholder management jira,leadership strategy business management,Project Manager
27,Bachelor's,mlops python deep learning scikit-learn,automation research software engineering,Machine Learning Engineer
40,Master's,agile excel requirements gathering documentation,problem solving management business,Business Analyst
37,Master's,seo ppc content marketing branding email marketing,communications social media,Digital Marketer
39,Master's,data analysis requirements gathering sql,strategy analytics business,Business Analyst
26,Master's,spring boot sql java,system architecture technology engineering problem solving,Backend Developer
21,Bachelor's,c++ embedded linux c,automation electronics,Embedded Systems Engineer
38,Master's,react typescript html css responsive design webpack,technology design creative coding user experience,Frontend Developer
35,Master's,airflow data pipelines etl python cloud platforms,big data technology infrastructure,Data Engineer
29,Master's,firewalls ethical hacking linux penetration testing siem,digital forensics technology privacy,Cybersecurity Analyst
33,Bachelor's,process modeling documentation power bi data analysis business intelligence,analytics strategy problem solving management,Business Analyst
30,Bachelor's,statistics ci/cd tableau data visualization,data science analytics business,Data Analyst
38,Master's,penetration testing cryptography ethical hacking vulnerability assessment,privacy technology cybersecurity,Cybersecurity Analyst
27,Master's,excel stakeholder management power bi requirements gathering sql,problem solving analytics strategy management,Business Analyst
40,Bachelor's,figma sketch usability testing,user experience technology creativity design,UI/UX Designer
21,Bachelor's,data analysis python data visualization,analytics data science technology,Data Scientist
34,Bachelor's,bert spacy text classification huggingface,language artificial intelligence linguistics research,NLP Engineer
38,Master's,data visualization python statistics tableau,analytics finance decision making,Data Analyst
21,Bachelor's,sql nodejs python microservices databases rest api,problem solving technology system architecture,Backend Developer
38,Bachelor's,python pandas statistics,research artificial intelligence data science,Data Scientist
37,Bachelor's,computer vision pytorch opencv,research photography artificial intelligence,Computer Vision Engineer
23,PhD,spark etl data warehousing airflow sql,technology big data analytics,Data Engineer
22,PhD,javascript webpack vue figma responsive design,design user experience web development,Frontend Developer
37,Master's,sql business intelligence agile power bi requirements gathering,problem solving business management,Business Analyst
39,Bachelor's,object detection image processing convolutional neural networks pytorch data augmentation deep learning,artificial intelligence technology research,Computer Vision Engineer
18,Bachelor's,mobile ui kotlin swift firebase react native rest api,app development design technology,Mobile Developer
26,Bachelor's,image processing opencv object detection,computer vision technology photography,Computer Vision Engineer
25,Bachelor's,spacy python bert huggingface pytorch natural language processing,technology research,NLP Engineer
26,Master's,java rest api nodejs spring boot,technology system architecture problem solving,Backend Developer
29,Bachelor's,process modeling data analysis agile stakeholder management,business problem solving,Business Analyst
20,Bachelor's,adobe xd user research usability testing figma,technology design user experience,UI/UX Designer
33,Master's,wireframing user research ui design sketch usability testing css,technology creativity user experience psychology,UI/UX Designer
34,Master's,stakeholder management project planning communication,strategy management business,Project Manager
36,Master's,social media wordpress editing copywriting,communications marketing media,Content Strategist
24,Master's,power bi stakeholder management excel business intelligence process modeling,analytics strategy management problem solving,Business Analyst
18,PhD,kubernetes shell scripting aws ansible linux git,technology automation system reliability,DevOps Engineer
36,Bachelor's,bert python text classification deep learning,language artificial intelligence linguistics,NLP Engineer
24,Master's,opencv tensorflow pytorch deep learning computer vision,research computer vision artificial intelligence,Computer Vision Engineer
24,Bachelor's,javascript css vue webpack,design web development creative coding user experience,Frontend Developer
36,PhD,android firebase wireframing ios swift,user experience design,Mobile Developer
39,Master's,css vue ui development,technology user experience creative coding,Frontend Developer
35,Bachelor's,figma user research design thinking,creativity user experience technology design,UI/UX Designer
24,Bachelor's,linux terraform kubernetes aws cloud architecture,automation engineering cloud computing technology,Cloud Engineer
35,Master's,leadership budgeting risk management object detection,leadership team collaboration strategy business,Project Manager
30,Bachelor's,sql data pipelines kafka,big data data engineering,Data Engineer
19,Bachelor's,sql kafka airflow hadoop data warehousing,data engineering big data technology,Data Engineer
22,PhD,kafka sql spark airflow cloud platforms python,analytics big data data engineering technology,Data Engineer
19,Bachelor's,css react ui development,user experience web development,Frontend Developer
23,Master's,ethical hacking incident response vulnerability assessment siem,digital forensics technology cybersecurity,Cybersecurity Analyst
30,Master's,ppc seo branding content marketing,business communications,Digital Marketer
29,PhD,mlops feature engineering scikit-learn python deep learning model deployment,software engineering research automation,Machine Learning Engineer
36,Bachelor's,python nodejs databases system design,engineering technology system architecture problem solving,Backend Developer
33,Master's,ios rest api kotlin flutter android mobile ui,design user experience technology,Mobile Developer
22,PhD,javascript css git sql mongodb,web development entrepreneurship problem solving,Full Stack Developer
32,Bachelor's,paper writing docker mathematics natural language processing,academia artificial intelligence,AI Researcher
23,Bachelor's,kafka spark airflow sql,infrastructure big data technology data engineering,Data Engineer
24,Bachelor's,firebase rest api java kotlin flutter react native,design mobile technology user experience technology,Mobile Developer
37,Master's,python sql hadoop kafka data pipelines airflow,big data infrastructure,Data Engineer
24,Bachelor's,kubernetes ansible linux ci/cd monitoring git,infrastructure automation engineering technology,DevOps Engineer
40,Master's,bert deep learning transformers python nltk,linguistics language technology research,NLP Engineer
20,Bachelor's,docker kubernetes google cloud,automation technology cloud computing,Cloud Engineer
37,Master's,analytics editing social media content planning wordpress,communications marketing,Content Strategist
27,PhD,bert huggingface pytorch deep learning python transformers,linguistics technology research language,NLP Engineer
22,PhD,css docker html sql react,problem solving entrepreneurship software engineering web development,Full Stack Developer
31,Bachelor's,git docker linux kubernetes ansible,engineering infrastructure automation technology,DevOps Engineer
37,Bachelor's,pytorch scikit-learn deep learning feature engineering,automation artificial intelligence research,Machine Learning Engineer
22,Bachelor's,deep learning text classification spacy bert,research technology,NLP Engineer
29,Bachelor's,research mathematics statistics deep learning natural language processing computer vision,innovation research,AI Researcher
21,Bachelor's,kubernetes terraform cloud architecture azure linux,technology automation cloud computing engineering,Cloud Engineer
35,Master's,adobe xd figma wireframing user research,technology creativity,UI/UX Designer
36,Master's,convolutional neural networks data augmentation tensorflow,technology artificial intelligence photography research,Computer Vision Engineer
31,Master's,machine learning docker python pytorch model deployment tensorflow,artificial intelligence research automation technology,Machine Learning Engineer
30,Master's,python tensorflow natural language processing statistics,technology innovation artificial intelligence research,AI Researcher
38,PhD,css ui design design thinking,creativity design,UI/UX Designer
32,Master's,docker linux terraform,system reliability engineering technology,DevOps Engineer
18,Master's,terraform linux shell scripting kubernetes,technology infrastructure,DevOps Engineer
38,Bachelor's,computer vision pytorch deep learning natural language processing,research artificial intelligence,AI Researcher
29,Bachelor's,nltk huggingface transformers,artificial intelligence research technology language,NLP Engineer
35,Bachelor's,iot rtos serial communication,engineering iot automation,Embedded Systems Engineer
36,Bachelor's,databases java sql nodejs microservices system design,engineering problem solving,Backend Developer
33,Bachelor's,ethical hacking siem penetration testing,technology privacy digital forensics,Cybersecurity Analyst
34,Bachelor's,vue webpack figma,technology design,Frontend Developer
23,Bachelor's,editing content writing storytelling seo content planning marketing,marketing media writing,Content Strategist
30,Master's,vulnerability assessment ethical hacking linux firewalls penetration testing,problem solving digital forensics technology,Cybersecurity Analyst
23,Master's,html javascript nodejs rest api css,problem solving software engineering,Full Stack Developer
19,Master's,sql cloud platforms kafka data pipelines spark etl,infrastructure analytics big data technology,Data Engineer
26,Bachelor's,azure ios flutter swift android mobile ui,mobile technology technology,Mobile Developer
31,Bachelor's,user research wireframing usability testing figma,technology psychology user experience design,UI/UX Designer
24,Bachelor's,data analysis social media marketing email marketing marketing automation branding,social media communications marketing,Digital Marketer
31,Bachelor's,ci/cd azure cloud architecture networking terraform aws,infrastructure cloud computing engineering automation,Cloud Engineer
31,Master's,cloud architecture terraform kubernetes docker azure networking,engineering infrastructure cloud computing technology,Cloud Engineer
25,Master's,python deep learning data augmentation convolutional neural networks computer vision,artificial intelligence research computer vision,Computer Vision Engineer
18,PhD,reporting business intelligence sql pandas,finance decision making data science business,Data Analyst
37,Bachelor's,terraform google cloud ci/cd aws docker azure,technology cloud computing,Cloud Engineer
33,Bachelor's,content marketing data analysis social media marketing copywriting ppc,business creativity,Digital Marketer
25,Master's,flutter java swift firebase ios,technology app development,Mobile Developer
34,Bachelor's,documentation sql requirements gathering excel process modeling,problem solving analytics,Business Analyst
36,Master's,webpack javascript ui development react css vue,user experience creative coding web development technology,Frontend Developer
38,Master's,data analysis scikit-learn deep learning pandas data visualization numpy,research analytics,Data Scientist
28,Master's,deep learning numpy data visualization sql data analysis python,analytics data science,Data Scientist
26,Master's,responsive design html webpack ui development,user experience web development technology,Frontend Developer
37,Master's,excel power bi data visualization sql reporting,decision making data science,Data Analyst
23,PhD,paper writing computer vision python,research artificial intelligence innovation academia,AI Researcher
19,Bachelor's,budgeting project planning documentation stakeholder management risk management jira,management leadership business team collaboration,Project Manager
26,Master's,spacy bert text classification pytorch natural language processing python,linguistics language artificial intelligence technology,NLP Engineer
39,Bachelor's,data analysis numpy machine learning pandas deep learning,artificial intelligence research,Data Scientist
36,PhD,process modeling excel requirements gathering stakeholder management,management problem solving,Business Analyst
31,Bachelor's,kotlin swift android firebase,technology app development,Mobile Developer
26,Master's,serial communication assembly iot embedded linux pcb design c++,automation electronics engineering,Embedded Systems Engineer
28,Master's,rest api java firebase,mobile technology app development,Mobile Developer
31,Bachelor's,pytorch nltk python,research technology artificial intelligence,NLP Engineer
20,Bachelor's,android sql requirements gathering stakeholder management power bi business intelligence,strategy business analytics,Business Analyst
21,Bachelor's,assembly pcb design serial communication,iot engineering electronics automation,Embedded Systems Engineer
21,Master's,sql tableau reporting business intelligence excel power bi,analytics decision making data science,Data Analyst
23,Master's,analytics content planning seo copywriting storytelling,communications creativity marketing media,Content Strategist
21,Master's,reporting statistics python data visualization,business decision making,Data Analyst
32,PhD,social media content planning content writing editing copywriting analytics,creativity media marketing,Content Strategist
24,Bachelor's,docker machine learning model deployment,research technology artificial intelligence,Machine Learning Engineer
34,PhD,social media marketing seo google analytics email marketing branding ppc,business creativity communications,Digital Marketer
32,Bachelor's,siem incident response penetration testing,cybersecurity technology,Cybersecurity Analyst
27,Master's,c++ embedded linux rtos pcb design iot,automation hardware iot,Embedded Systems Engineer
28,Bachelor's,sql process modeling stakeholder management,problem solving analytics,Business Analyst
38,Master's,seo analytics social media wordpress marketing,marketing media,Content Strategist
22,Master's,pytorch text classification bert nltk python,technology linguistics language,NLP Engineer
30,Master's,airflow kafka python,technology big data analytics,Data Engineer
20,PhD,python java microservices databases spring boot rest api,software development system architecture engineering,Backend Developer
33,Bachelor's,editing marketing social media,media communications creativity marketing,Content Strategist
30,Bachelor's,adobe xd sketch design thinking prototyping,psychology technology,UI/UX Designer
21,Bachelor's,text classification pytorch bert transformers nltk,language artificial intelligence linguistics technology,NLP Engineer
22,PhD,computer vision opencv image processing,photography artificial intelligence technology,Computer Vision Engineer
25,Master's,deep learning machine learning mlops,software engineering artificial intelligence,Machine Learning Engineer
32,Master's,docker scikit-learn pytorch,artificial intelligence research automation technology,Machine Learning Engineer
27,Bachelor's,agile data analysis power bi business intelligence,problem solving management,Business Analyst
34,Bachelor's,rest api nodejs sql python,problem solving technology software development system architecture,Backend Developer
19,Master's,pandas machine learning data analysis,technology artificial intelligence,Data Scientist
28,Master's,incident response linux vulnerability assessment cryptography ethical hacking penetration testing,digital forensics cybersecurity problem solving privacy,Cybersecurity Analyst
40,Bachelor's,wordpress analytics content writing social media,creativity marketing media communications,Content Strategist
29,PhD,figma typescript react responsive design,design web development,Frontend Developer
24,Bachelor's,monitoring ci/cd terraform aws,automation system reliability,DevOps Engineer
23,Bachelor's,data analysis ppc social media marketing,creativity business,Digital Marketer
27,Bachelor's,rtos iot c++ embedded linux,automation hardware iot electronics,Embedded Systems Engineer
28,Master's,user research usability testing figma sketch wireframing,design creativity user experience psychology,UI/UX Designer
23,Master's,storytelling wordpress social media copywriting content planning content writing,creativity media marketing,Content Strategist
40,Master's,copywriting marketing automation google analytics ppc branding,communications social media marketing business,Digital Marketer
39,Master's,hadoop python airflow,big data data engineering,Data Engineer
26,Bachelor's,cryptography ethical hacking incident response,technology problem solving,Cybersecurity Analyst
38,Master's,kubernetes google cloud terraform docker ci/cd networking,automation technology,Cloud Engineer
30,Bachelor's,scrum risk management stakeholder management,strategy business,Project Manager
38,Master's,networking kubernetes docker azure,technology automation infrastructure,Cloud Engineer
18,Bachelor's,ppc seo marketing automation social media marketing,creativity social media,Digital Marketer
37,PhD,typescript ui development vue html,design web development user experience creative coding,Frontend Developer
19,Master's,python airflow cloud platforms,big data data engineering,Data Engineer
22,Bachelor's,rest api java nodejs spring boot docker,system architecture software development,Backend Developer
34,Master's,shell scripting ansible terraform git linux,automation infrastructure,DevOps Engineer
29,Master's,python sql numpy machine learning deep learning,technology research,Data Scientist
25,PhD,python statistics machine learning pandas,analytics artificial intelligence data science research,Data Scientist
23,Bachelor's,mongodb git rest api html,technology software engineering web development entrepreneurship,Full Stack Developer
19,Bachelor's,leadership stakeholder management budgeting,management business,Project Manager
19,Bachelor's,excel power bi statistics tableau,decision making business finance,Data Analyst
20,Bachelor's,social media marketing branding copywriting,creativity communications,Digital Marketer
33,Bachelor's,java system design spring boot,engineering system architecture software development technology,Backend Developer
24,Master's,communication documentation leadership scrum jira,management team collaboration strategy,Project Manager
25,Bachelor's,scikit-learn statistics data analysis,artificial intelligence data science,Data Scientist
20,Bachelor's,content planning storytelling editing copywriting social media,communications media,Content Strategist
35,Bachelor's,shell scripting ci/cd docker ansible,automation engineering system reliability technology,DevOps Engineer
22,PhD,excel data analysis stakeholder management power bi process modeling,problem solving strategy management business,Business Analyst
28,Bachelor's,documentation sql stakeholder management business intelligence agile,analytics problem solving,Business Analyst
